Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0603_1608Metric,36.322,-13.6144,180,top
C3,100nF,C_0603_1608Metric,32.6644,-14.5796,0,top
C9,12pF C0G,C_0402_1005Metric,22.75,-3.79,-90,top
C10,12pF C0G,C_0402_1005Metric,22.75,-1.758,90,top
C11,10uF,C_0805_2012Metric,22.1742,-8.6868,-90,top
D1,5V,D_SOD-323,33.6696,-23.2924,180,top
J4,S4B-XH-SM4-TB,CONN4_S4B-XH_JST,20.3,-25.607,180,top
Q2,PMV48XP,SOT-23,34.0018,-20.2658,180,top
Q3,PMV48XP,SOT-23,3.7338,-16.637,-90,top
Q4,2N7002,SOT-23,7.4676,-15.6972,180,top
R1,10R,R_0603_1608Metric,30.4445,-16.5561,0,top
R2,330k,R_0603_1608Metric,36.2966,-6.9596,180,top
R6,22k,R_0603_1608Metric,3.6576,-13.8938,0,top
R7,22k,R_0603_1608Metric,10.1854,-15.8101,90,top
R9,330k,R_0603_1608Metric,36.2966,-8.5344,180,top
R12,100k,R_0603_1608Metric,4.5833,-19.3548,0,top
R13,100k,R_0603_1608Metric,4.5833,-20.8788,180,top
U1,TPL5111,SOT-23-6,35.9664,-11.0998,180,top
U2,TPS22917DBV,SOT-23-6,30.7594,-12.0396,180,top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,24.814,-2.774,90,top
